utm_x,utm_y,grid_idx,grid_lon,grid_lat,Openness,Openness_weight_sum,Conscientiousness,Conscientiousness_weight_sum,Extraversion,Extraversion_weight_sum,Agreeableness,Agreeableness_weight_sum,Neuroticism,Neuroticism_weight_sum
594366.6745417059,5240945.863002268,0,10.248618483280463,47.31518054940015,3.6840057305077893,424.6254500582391,3.1114652625035824,424.6254500582391,3.762447202820401,424.6254500582391,3.64016843908369,424.6254500582391,2.2756751788801095,424.6254500582391
599366.6745417059,5240945.863002268,1,10.314758839675962,47.314440785358165,3.689200709657516,429.97590592321495,3.1036984437683754,429.97590592321495,3.7600809060197613,429.97590592321495,3.638901033379301,429.97590592321495,2.2743400063853043,429.97590592321495
594366.6745417059,5245945.863002268,2,10.249679495253467,47.36016099723058,3.677343699696191,463.0724248621382,3.1128910721546013,463.0724248621382,3.7638795087483654,463.0724248621382,3.6387087492352705,463.0724248621382,2.2791419990906676,463.0724248621382
599366.6745417059,5245945.863002268,3,10.315876015813416,47.359420074684806,3.6820999850758867,468.56543861959545,3.105479758832146,468.56543861959545,3.7618529532068776,468.56543861959545,3.6375205486453175,468.56543861959545,2.278319363152068,468.56543861959545
584366.6745417059,5250945.863002268,4,10.118229831126767,47.40651039085539,3.6592983550258706,485.45554577976236,3.1271338057493314,485.45554577976236,3.767453497265188,485.45554577976236,3.6391251379912584,485.45554577976236,2.2863359433081407,485.45554577976236
589366.6745417059,5250945.863002268,5,10.184487678494527,47.40584487399515,3.6656081145044332,493.5391901449004,3.1208927707166954,493.5391901449004,3.7665453247512892,493.5391901449004,3.6385386783173934,493.5391901449004,2.2840428088784703,493.5391901449004
594366.6745417059,5250945.863002268,6,10.250743080903185,47.405141072225334,3.6710475932074575,501.0193035880639,3.1140550806279528,501.0193035880639,3.7652278326209117,501.0193035880639,3.6375458993929946,501.0193035880639,2.2826643914043876,501.0193035880639
599366.6745417059,5250945.863002268,7,10.31699590176544,47.404398989218656,3.6754418244800684,507.53138027832796,3.1071004001291778,507.53138027832796,3.7636240029301664,507.53138027832796,3.636533789294704,507.53138027832796,2.2821662876594124,507.53138027832796
604366.6745417059,5250945.863002268,8,10.383246004527654,47.40361862884733,3.6787187298967594,513.5569935789978,3.1004769220939576,513.5569935789978,3.7619369642965177,513.5569935789978,3.635751618444236,513.5569935789978,2.2824624689185806,513.5569935789978
649366.6745417059,5250945.863002268,9,10.97935210248527,47.39487364167436,3.674160246634117,704.0377337423614,3.072445282710935,704.0377337423614,3.7594373276012134,704.0377337423614,3.6363650604439877,704.0377337423614,2.30285802468133,704.0377337423614
654366.6745417059,5250945.863002268,10,11.045567522472377,47.393710764467365,3.6730206798865708,741.1168483821793,3.0712069937620843,741.1168483821793,3.7597498845862765,741.1168483821793,3.636286611062349,741.1168483821793,2.3052407786878573,741.1168483821793
584366.6745417059,5255945.863002268,11,10.119183101307225,47.45149223803922,3.6539857060071483,519.748928304515,3.126777081185368,519.748928304515,3.767497645910677,519.748928304515,3.6380433426953904,519.748928304515,2.289868537850718,519.748928304515
589366.6745417059,5255945.863002268,12,10.18549740093108,47.45082567863478,3.6600280134145637,529.4903433077917,3.121176997629807,529.4903433077917,3.767178578653991,529.4903433077917,3.6376947231418995,529.4903433077917,2.2874840466806265,529.4903433077917
594366.6745417059,5255945.863002268,13,10.251809248104916,47.45012077437534,3.6651946975969927,538.8225356554333,3.1149677447460657,538.8225356554333,3.7664272894387887,538.8225356554333,3.6369707514242635,538.8225356554333,2.2861200630873126,538.8225356554333
599366.6745417059,5255945.863002268,14,10.318118505823408,47.449377528944154,3.6692985595620287,547.2914573959375,3.1085369272164893,547.2914573959375,3.765296525468923,547.2914573959375,3.63619824668201,547.2914573959375,2.285794073587991,547.2914573959375
604366.6745417059,5255945.863002268,15,10.384425037115072,47.44859594622458,3.6722799437609126,555.4646807149242,3.1022892690886343,555.4646807149242,3.7639393718520506,555.4646807149242,3.635591802384752,555.4646807149242,2.28641499379028,555.4646807149242
609366.6745417059,5255945.863002268,16,10.450728705044055,47.44777603029994,3.6741655856751154,564.8378994015146,3.096599239469541,564.8378994015146,3.762573488070558,564.8378994015146,3.635236569925935,564.8378994015146,2.287808761009488,564.8378994015146
649366.6745417059,5255945.863002268,17,10.981038548286907,47.43983726346533,3.6675905665791064,822.7397604961776,3.075017483763895,822.7397604961776,3.762169806331157,822.7397604961776,3.6350258310760584,822.7397604961776,2.310161334738438,822.7397604961776
654366.6745417059,5255945.863002268,18,11.047310290599533,47.438672565409604,3.6665398547320622,874.6732395162965,3.0738109247566068,874.6732395162965,3.7625578630500742,874.6732395162965,3.6346982914847414,874.6732395162965,2.3126602694514404,874.6732395162965
659366.6745417059,5255945.863002268,19,11.113577802542496,47.437469585965786,3.6656784709682704,926.4209226501447,3.0728067143964806,926.4209226501447,3.7628330665253924,926.4209226501447,3.63437338677123,926.4209226501447,2.3148011137748923,926.4209226501447
664366.6745417059,5255945.863002268,20,11.179840947689339,47.43622833141208,3.665001016645446,976.1586066573807,3.072047278393628,976.1586066573807,3.7630190576282825,976.1586066573807,3.634176047169924,976.1586066573807,2.316546907434567,976.1586066573807
669366.6745417059,5255945.863002268,21,11.246099589670557,47.43494880822562,3.664519050967704,1021.9973605688874,3.071565705694767,1021.9973605688874,3.763149415328168,1021.9973605688874,3.6342304293565055,1021.9973605688874,2.317864440832239,1021.9973605688874
574366.6745417059,5260945.863002268,22,9.987390079011023,47.497693694959615,3.6361684334104,533.7954868903628,3.133918495061268,533.7954868903628,3.7659605297683085,533.7954868903628,3.635686938267309,533.7954868903628,2.300743001461221,533.7954868903628
579366.6745417059,5260945.863002268,23,10.053765475472106,47.49710291132635,3.642632311901099,542.8098153630111,3.1305415847527645,542.8098153630111,3.7667294526165596,542.8098153630111,3.6370444291509973,542.8098153630111,2.296770617748793,542.8098153630111
584366.6745417059,5260945.863002268,24,10.120138686905362,47.496473716005625,3.6489794394773942,553.4869836648905,3.126300294930748,553.4869836648905,3.7673120165871876,553.4869836648905,3.637606861845152,553.4869836648905,2.2933813777733434,553.4869836648905
589366.6745417059,5260945.863002268,25,10.186509575822994,47.49580611228983,3.6548054707743622,565.2079129083967,3.1212624978752,565.2079129083967,3.7675622387731216,565.2079129083967,3.6375414148510647,565.2079129083967,2.290878439833535,565.2079129083967
594366.6745417059,5260945.863002268,26,10.252878004767634,47.495100103672115,3.6597610422509392,577.0071036679499,3.1156432076138723,577.0071036679499,3.7673762226967265,577.0071036679499,3.6371198460730736,577.0071036679499,2.2894645021882263,577.0071036679499
599366.6745417059,5260945.863002268,27,10.319243836314145,47.49435569384636,3.6636412410811166,588.3664759623825,3.109739099235683,588.3664759623825,3.7667391919680653,588.3664759623825,3.6366030359390713,588.3664759623825,2.289214443085184,588.3664759623825
604366.6745417059,5260945.863002268,28,10.385606933071408,47.493572886707064,3.666393391776244,599.8932665699645,3.103895493383506,599.8932665699645,3.765751658264359,599.8932665699645,3.6361663822765733,599.8932665699645,2.290050522200171,599.8932665699645
644366.6745417059,5260945.863002268,29,10.916396780430471,47.48592865980174,3.6632023509832723,899.0003544627228,3.0782764171310952,899.0003544627228,3.764265644908831,899.0003544627228,3.633964558888472,899.0003544627228,2.3136871197011946,899.0003544627228
649366.6745417059,5260945.863002268,30,10.982729087985472,47.484800485163944,3.6621481894970147,967.5013727959571,3.076847219467757,967.5013727959571,3.764870243734158,967.5013727959571,3.6333652490100135,967.5013727959571,2.316608292707756,967.5013727959571
654366.6745417059,5260945.863002268,31,11.04905728910555,47.48363396317695,3.661242308554679,1037.9014484407958,3.0756281439532795,1037.9014484407958,3.76534618086607,1037.9014484407958,3.6327597919063637,1037.9014484407958,2.3191258908725403,1037.9014484407958
659366.6745417059,5260945.863002268,32,11.115381246892015,47.482429099937285,3.6604881557599365,1107.5268291058503,3.074629645512541,1107.5268291058503,3.765667104684,1107.5268291058503,3.6322409743258532,1107.5268291058503,2.32119671092952,1107.5268291058503
664366.6745417059,5260945.863002268,33,11.181700824501641,47.48118590174117,3.65989894019418,1173.7357308587984,3.0738707361816893,1173.7357308587984,3.765850402969295,1173.7357308587984,3.631918897209368,1173.7357308587984,2.3227995485367763,1173.7357308587984
669366.6745417059,5260945.863002268,34,11.248015885148458,47.479904375084345,3.6595042946908345,1233.9462877699616,3.0733606968245977,1233.9462877699616,3.7659354758739445,1233.9462877699616,3.6318935419982137,1233.9462877699616,2.323925319345644,1233.9462877699616
674366.6745417059,5260945.863002268,35,11.314326292105509,47.478584526662,3.659341685902687,1285.6015159859935,3.073088353870041,1285.6015159859935,3.7659595957714385,1285.6015159859935,3.6322337755039276,1285.6015159859935,2.324580880332643,1285.6015159859935
